permission_id,street,post_code,prim_add_obj_name
151210,Craven Park Road,NW10 8SE,47A
151182,Edgware Road,NW9 6LR,213A
163908,Hawksbrook Lane,BR3 3SR,Langley Park Sports And Social Club
200718,Dunlace Road,E5 0NE,66
175868,Crouch Hill,N4 4AP,33
206892,Edgware Road,NW9 6LP,187A
157673,Derby Road,CR0 3SF,21
148917,Selhurst Road,SE25 6XP,253
257006,Accommodation Road,NW11 8EP,18
149197,Elm Park Gardens,SW10 9PD,80A
148392,LEE HIGH ROAD,SE13 5PB,7 Manor Park Parade
232632,North Circular Road,NW2 7AY,649
154612,Queen's Gate,SW7 5HE,169
158140,Empire Avenue,N14 5PY,64
257642,Audley Road,NW4 3HG,132
149240,Green Lanes,N13 4BS,465
199088,Queens Parade,W5 3HU,11
149574,Colebrooke Avenue,W13 8JZ,27
169964,Thurlestone Road,SE27 0PE,27
152560,Willoughby Lane,N17 0SP,72-72A
190548,Charlton Road,SE3 8TH,83
148881,Coombe Avenue,CR0 5SD,Image House
149268,Lowden Road,N9 8RL,1
149837,Whitehorse Road,CR7 8SD,381
155434,Harringay Road,N15 3HX,106
149179,Addington Road,CR2 8LD,194-194B
260280,Epsom Road,SM4 5PR,59
155063,East End Road,N2 0LZ,183
196408,Park Road,N15 3HR,Store 50A
149291,Green Lanes,N13 4BS,467
182832,Stanger Road,SE25 5JZ,35
153050,Haverstock Hill,NW3 4QT,167
159648,Castle Mews,N12 9EH,4
154211,QUEENS ROAD,SE15 2EZ,115-117
158334,BURLINGTON ROAD,KT3 4LR,115A
147592,Queens Walk,W5 1SY,The Lindens
158272,Heathway,SE3 7AN,The Little Coach House
257005,High Road,N2 9PJ,30A
157599,Westbury road,E17 6RH,27
149140,UPPER MULGRAVE ROAD,SM2 7BD,30
158293,HIGH STREET,KT3 4BH,171
245065,Friern Barnet Lane,N20 0NH,272-276
152072,College Yard,NW5 1NX,1
256828,Lichfield Grove,N9,"Ground Floor, 55"
185748,Elmgrove Road,HA1 2QG,Research Services House
149414,Abercorn Crescent,HA2 0PT,32
149666,Carlton Hill,NW8 0EP,85
153032,Finchley Road,NW3 6DT,299A
158172,Ecclesbourne Road,CR7 7BQ,35A
209903,Tudor Road,E9 7SN,47-49
150561,North Circular Road,N13 5JH,325B
159668,Charterhouse Avenue,HA0 3BU,"Ground and First Floor Flats, 63"
159928,Westbourne Grove,W11 2RW,162
152996,Estelle Road,NW3 2JY,8
148989,WOODCOTE ROAD,SM6 0LH,13
231048,Bryantwood Road,N7 7QP,Montague House 74
192217,Albert Road,E16 2DY,74
152478,Knightswood Close,HA8 8FR,2
175594,Ethelburger Road,RM3 0QR,1
176772,Woolwich Road,DA17 5EN,Rear of 102-106
177569,High Street,W5 5DB,5
197428,Mile End Road,E1,432
149847,Sydenham Road,CR0 2EX,5
149178,Southbridge Road,CR0 1AE,84
158128,Chelmsford Road,EN2 7EZ,101
152345,Upper Tachbrook Street,SW1V 1SH,4
169990,Brixton Water Lane,SW2 1QB,72
151614,Oakhill Avenue,NW3 7RE,2
152006,HIGH STREET,KT4 8RY,240 - 244
150607,High Street,BR6 0JN,202-206
245055,Temple Road,NW2 6PP,26
285220,Warple Way,W3 0RG,Long Island House
318533,Wannock Gardens,IG6,2-8
241228,Warwick Way,SW1V 4JD,134
147061,Slades Drive,BR7 6JU,21
150205,Dormers Wells Lane,UB1 3JA,122
180014,Reporton Road,SW6 7JP,49
156232,LAUREL GROVE,SE20 8QN,2-10
157890,Lower Addiscombe Road,CR0 6RX,411A
155573,Marchmont Street,WC1N 1AP,59
149896,Waldegrave Park,TW1 4TQ,50
149337,Lea Bridge Road,E10 7EA,403
198675,Oakleigh Park South,N20 9JS,29
149225,North Circular Road,N13 5JH,325
179681,CONSTABLE WALK,SE21 7LX,10-11
244368,Parkway,NW1 7AN,102
150914,Bonnersfield Lane,HA1 2LE,50
